Auto-update,Joplin periodically connects to GitHub to check for new releases.,Enabled
Geo-location,Joplin saves geo-location information in note properties when you create a note.,Enabled
Synchronisation,"Joplin supports synchronisation of your notes across multiple devices. If you choose to synchronise with a third-party, such as OneDrive, the notes will be sent to your OneDrive account, in which case the third-party privacy policy applies.",Disabled
