"CALL apoc.uuid.install(label, {addToExistingNodes: true/false, uuidProperty: 'uuid'}) yield label, installed, properties,
                                    batchComputationResult","it will add the uuid transaction handler for the provided label and uuidProperty, in case the UUID handler is already present it will be replaced by the new one"
"CALL apoc.uuid.remove(label) yield label, installed, properties",remove previously added uuid handler and returns uuid information. All the existing uuid properties are left as-is
"CALL apoc.uuid.removeAll() yield label, installed, properties",removes all previously added uuid handlers and returns uuids information. All the existing uuid properties are left as-is
